time	V(com2)	V(n001)	V(n006)
0.000000000000000e+00	4.994159e-01	0.000000e+00	6.365142e-01
2.285714245603818e-13	4.994151e-01	2.285714e-02	6.365178e-01
4.571428491207636e-13	4.994264e-01	4.571428e-02	6.364517e-01
6.857142736811454e-13	4.994499e-01	6.857143e-02	6.363159e-01
9.142856982415272e-13	4.994856e-01	9.142857e-02	6.361104e-01
1.142857122801909e-12	4.995334e-01	1.142857e-01	6.358352e-01
1.371428547362291e-12	4.995933e-01	1.371429e-01	6.354903e-01
1.599999971922672e-12	4.996654e-01	1.600000e-01	6.350758e-01
3.199999943845344e-12	5.005077e-01	3.200000e-01	6.302983e-01
3.599999936826012e-12	5.012136e-01	3.600000e-01	6.265817e-01
4.399999922787348e-12	5.044641e-01	4.400000e-01	6.104327e-01
4.599999919277682e-12	5.084007e-01	4.600000e-01	5.971549e-01
4.999999912258350e-12	5.209944e-01	5.000000e-01	5.628505e-01
5.799999898219686e-12	5.401683e-01	5.800000e-01	5.300352e-01
7.399999870142358e-12	5.650624e-01	7.400000e-01	5.108477e-01
9.999999999999999e-12	5.913733e-01	1.000000e+00	4.993978e-01
1.010000000000000e-09	5.913220e-01	1.000000e+00	4.994159e-01
1.010976562500000e-09	5.844275e-01	9.023438e-01	5.016240e-01
1.012929687500000e-09	5.590951e-01	7.070312e-01	5.284224e-01
1.016093750000000e-09	5.183399e-01	3.906250e-01	5.952569e-01
1.020000000000000e-09	4.994142e-01	0.000000e+00	6.365189e-01
1.020390625000000e-09	4.994096e-01	0.000000e+00	6.365469e-01
1.022734375000000e-09	4.994158e-01	0.000000e+00	6.365145e-01
2.000000000000000e-09	4.994159e-01	0.000000e+00	6.365141e-01
2.000437500000004e-09	4.994318e-01	4.375000e-02	6.364212e-01
2.001312500000012e-09	4.996038e-01	1.312500e-01	6.354299e-01
2.003062500000027e-09	5.003743e-01	3.062500e-01	6.310401e-01
2.003500000000031e-09	5.010594e-01	3.500000e-01	6.274105e-01
2.004375000000038e-09	5.043094e-01	4.375000e-01	6.111639e-01
2.004593750000040e-09	5.085170e-01	4.593750e-01	5.972521e-01
2.005031250000044e-09	5.219285e-01	5.031250e-01	5.614269e-01
2.005906250000051e-09	5.420592e-01	5.906250e-01	5.281482e-01
2.007656250000067e-09	5.685434e-01	7.656250e-01	5.091119e-01
